Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2019,140,Burundi,3.775,3.565,3.985,0.0,0.404,0.295,0.275,0.187,0.212,2.402
2024,124,Cambodia,4.341,4.237,4.446,1.049,1.215,0.481,0.988,0.138,0.078,0.393
2023,119,Cambodia,4.341,4.236,4.446,1.011,1.019,0.442,0.863,0.17,0.071,0.765
2022,115,Cambodia,4.393,4.279,4.508,1.025,1.024,0.283,0.768,0.176,0.051,1.068
2021,114,Cambodia,4.64,4.516,4.765,1.019,0.732,0.505,0.74,0.166,0.068,1.41
2020,115,Cambodia,4.83,4.698,4.963,0.603,0.68,0.426,0.702,0.21,0.061,2.148
2019,106,Cambodia,4.848,4.735,4.962,0.545,1.071,0.588,0.675,0.233,0.073,1.663
2024,104,Cameroon,4.887,4.767,5.007,0.944,0.986,0.302,0.662,0.099,0.06,1.834
2023,104,Cameroon,4.874,4.753,4.996,0.943,0.856,0.288,0.521,0.126,0.06,2.08
2022,96,Cameroon,4.973,4.834,5.112,0.965,0.871,0.118,0.405,0.144,0.059,2.411
2021,102,Cameroon,5.048,4.907,5.188,0.968,0.672,0.317,0.397,0.152,0.074,2.469
2020,92,Cameroon,5.142,4.996,5.288,0.543,0.556,0.159,0.425,0.205,0.058,3.195
2019,98,Cameroon,5.085,4.953,5.217,0.504,0.9,0.27,0.439,0.198,0.054,2.719
2024,18,Canada,6.803,6.718,6.888,1.749,1.647,0.832,0.813,0.168,0.323,1.271
2023,15,Canada,6.9,6.815,6.984,1.84,1.459,0.701,0.73,0.23,0.368,1.572
2022,13,Canada,6.961,6.879,7.042,1.881,1.484,0.541,0.656,0.218,0.364,1.815
2021,15,Canada,7.025,6.943,7.107,1.886,1.188,0.783,0.659,0.217,0.368,1.924
2020,15,Canada,7.103,7.021,7.185,1.447,1.044,0.798,0.648,0.246,0.335,2.585
2019,11,Canada,7.232,7.153,7.311,1.302,1.435,1.023,0.644,0.282,0.352,2.195
2019,149,Central African Republic,3.476,3.25,3.702,0.041,0.0,0.0,0.293,0.254,0.028,2.86
2024,119,Chad,4.384,4.253,4.515,0.592,0.902,0.242,0.477,0.175,0.111,1.884
2023,113,Chad,4.471,4.313,4.63,0.603,0.805,0.199,0.411,0.218,0.113,2.122
2022,114,Chad,4.397,4.16,4.633,0.622,0.962,0.043,0.393,0.255,0.088,2.034
2021,130,Chad,4.251,3.999,4.503,0.662,0.506,0.225,0.18,0.182,0.077,2.419
2020,129,Chad,4.355,4.171,4.54,0.255,0.353,0.0,0.24,0.215,0.084,3.209
2019,127,Chad,4.423,4.275,4.57,0.302,0.739,0.109,0.229,0.211,0.086,2.747
2024,45,Chile,6.361,6.273,6.449,1.537,1.577,0.711,0.779,0.093,0.085,1.579
2023,38,Chile,6.36,6.273,6.448,1.616,1.369,0.673,0.651,0.117,0.075,1.858
2022,35,Chile,6.334,6.243,6.424,1.645,1.384,0.511,0.546,0.131,0.076,2.04
2021,44,Chile,6.172,6.082,6.262,1.651,1.08,0.748,0.46,0.124,0.069,2.04
2020,44,Chile,6.172,6.081,6.262,1.2,0.946,0.678,0.438,0.159,0.07,2.682
2019,39,Chile,6.228,6.139,6.318,1.097,1.323,0.889,0.417,0.156,0.063,2.283
2024,68,China,5.921,5.819,6.023,1.445,1.307,0.789,0.764,0.079,0.154,1.382
2023,60,China,5.973,5.885,6.061,1.497,1.239,0.629,0.704,0.132,0.164,1.608
2022,64,China,5.818,5.731,5.905,1.51,1.249,0.468,0.666,0.115,0.145,1.666
2021,72,China,5.585,5.52,5.65,1.508,0.958,0.705,0.656,0.099,0.142,1.516
2020,85,China,5.339,5.281,5.397,1.061,0.785,0.665,0.636,0.093,0.117,1.982
2019,94,China,5.124,5.073,5.175,0.991,1.132,0.867,0.602,0.079,0.117,1.336
2024,61,Colombia,6.004,5.897,6.112,1.38,1.513,0.587,0.777,0.039,0.051,1.658
2023,78,Colombia,5.695,5.584,5.806,1.437,1.241,0.648,0.644,0.072,0.059,1.596
2022,72,Colombia,5.63,5.514,5.747,1.455,1.213,0.486,0.562,0.08,0.068,1.765
2021,66,Colombia,5.781,5.659,5.903,1.452,0.929,0.72,0.545,0.087,0.077,1.971
2020,53,Colombia,6.012,5.892,6.132,1.021,0.866,0.615,0.554,0.1,0.063,2.794
2019,44,Colombia,6.163,6.053,6.274,0.932,1.334,0.81,0.527,0.092,0.046,2.422
2024,139,Comoros,3.754,3.59,3.919,0.835,0.501,0.428,0.26,0.117,0.164,1.45
2023,132,Comoros,3.566,3.378,3.754,0.896,0.328,0.37,0.172,0.128,0.16,1.512
2022,130,Comoros,3.545,3.317,3.774,0.914,0.327,0.215,0.117,0.129,0.145,1.699
2021,116,Comoros,4.609,4.368,4.849,0.899,0.476,0.424,0.185,0.195,0.125,2.304
2020,132,Comoros,4.289,4.123,4.454,0.488,0.367,0.279,0.202,0.241,0.101,2.61
2019,134,Comoros,4.289,4.123,4.454,0.416,0.723,0.437,0.181,0.259,0.1,2.173
2024,100,Congo,5.03,4.855,5.205,1.023,0.796,0.336,0.626,0.082,0.126,2.04
2023,89,Congo,5.221,5.047,5.396,0.892,0.622,0.306,0.523,0.124,0.138,2.617
2022,86,Congo,5.267,5.094,5.44,0.921,0.665,0.145,0.464,0.134,0.136,2.802
2021,99,Congo,5.075,4.915,5.235,0.95,0.405,0.355,0.431,0.13,0.146,2.658
2020,84,Congo,5.342,5.151,5.533,0.518,0.392,0.307,0.381,0.144,0.124,3.476
2019,88,Congo,5.194,5.043,5.345,0.634,0.758,0.458,0.387,0.117,0.119,2.723
2024,6,Costa Rica,7.274,7.187,7.361,1.492,1.6,0.68,0.948,0.067,0.118,2.369
2023,12,Costa Rica,6.955,6.86,7.051,1.561,1.373,0.661,0.797,0.109,0.123,2.333
2022,23,Costa Rica,6.609,6.507,6.71,1.587,1.34,0.503,0.683,0.099,0.116,2.281
2021,23,Costa Rica,6.582,6.481,6.683,1.584,1.054,0.744,0.661,0.089,0.102,2.346
2020,17,Costa Rica,7.069,6.96,7.179,1.134,0.966,0.722,0.673,0.105,0.083,3.387
2019,15,Costa Rica,7.121,7.034,7.209,0.981,1.375,0.94,0.645,0.131,0.096,2.953
2024,98,Côte dIvoire,5.102,4.967,5.238,1.038,0.76,0.206,0.661,0.1,0.162,2.176
2023,96,Côte dIvoire,5.08,4.936,5.224,1.08,0.578,0.288,0.547,0.12,0.164,2.303
2022,93,Côte dIvoire,5.053,4.907,5.198,1.094,0.584,0.12,0.467,0.138,0.131,2.519
2021,88,Côte dIvoire,5.235,5.085,5.384,1.094,0.442,0.322,0.451,0.149,0.124,2.652
2020,86,Côte dIvoire,5.306,5.152,5.46,0.669,0.409,0.052,0.438,0.177,0.092,3.469
2019,85,Côte dIvoire,5.233,5.09,5.377,0.537,0.8,0.155,0.397,0.17,0.093,3.081
2024,72,Croatia,5.87,5.777,5.963,1.644,1.673,0.669,0.478,0.022,0.065,1.319
2023,63,Croatia,5.942,5.837,6.047,1.71,1.445,0.637,0.469,0.064,0.043,1.574
2022,48,Croatia,6.125,6.013,6.237,1.727,1.455,0.475,0.5,0.087,0.003,1.88
2021,47,Croatia,6.125,6.022,6.229,1.705,1.183,0.709,0.535,0.109,0.0,1.884
2020,61,Croatia,5.882,5.788,5.975,1.251,1.039,0.703,0.453,0.111,0.0,2.325
2019,79,Croatia,5.505,5.431,5.579,1.109,1.311,0.901,0.381,0.114,0.012,1.676
2024,67,Cyprus,5.942,5.827,6.058,1.72,1.348,0.84,0.612,0.108,0.041,1.273
2023,50,Cyprus,6.068,5.954,6.182,1.794,1.217,0.744,0.529,0.124,0.049,1.611
2022,46,Cyprus,6.13,6.024,6.236,1.824,1.224,0.58,0.455,0.104,0.05,1.893
2021,41,Cyprus,6.221,6.122,6.32,1.815,0.909,0.819,0.448,0.123,0.062,2.044
2020,40,Cyprus,6.223,6.128,6.319,1.377,0.765,0.801,0.464,0.178,0.061,2.578
2019,45,Cyprus,6.159,6.06,6.258,1.213,1.149,1.026,0.459,0.228,0.051,2.032
2024,20,Czechia,6.775,6.696,6.854,1.692,1.716,0.658,0.916,0.118,0.084,1.591
2023,18,Czechia,6.822,6.741,6.903,1.783,1.511,0.638,0.787,0.177,0.068,1.858
2022,18,Czechia,6.845,6.759,6.931,1.823,1.544,0.477,0.693,0.158,0.05,2.099
2021,18,Czechia,6.92,6.811,7.029,1.815,1.26,0.715,0.66,0.158,0.048,2.263
2020,19,Czechia,6.965,6.868,7.062,1.37,1.09,0.703,0.58,0.052,0.046,3.124
2019,19,Czechia,6.911,6.827,6.995,1.212,1.405,0.895,0.506,0.046,0.05,2.797
2024,2,Denmark,7.521,7.431,7.611,1.825,1.748,0.82,0.955,0.15,0.488,1.535
2023,2,Denmark,7.583,7.5,7.665,1.908,1.52,0.699,0.823,0.204,0.548,1.881
2022,2,Denmark,7.586,7.506,7.667,1.949,1.548,0.537,0.734,0.208,0.525,2.084
2021,2,Denmark,7.636,7.563,7.71,1.953,1.243,0.777,0.719,0.188,0.532,2.226
2020,3,Denmark,7.62,7.552,7.687,1.502,1.108,0.763,0.686,0.208,0.485,2.868
2019,2,Denmark,7.646,7.58,7.711,1.327,1.503,0.979,0.665,0.243,0.495,2.433
2024,76,Dominican Republic,5.846,5.705,5.988,1.457,1.5,0.615,0.866,0.063,0.186,1.16
2023,69,Dominican Republic,5.823,5.679,5.967,1.517,1.272,0.511,0.73,0.086,0.196,1.512
