Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2021,101,Mozambique,5.048,4.823,5.273,0.578,0.66,0.191,0.593,0.185,0.2,2.641
2020,116,Mozambique,4.794,4.592,4.997,0.183,0.634,0.196,0.608,0.228,0.163,2.783
2019,120,Mozambique,4.624,4.468,4.779,0.179,0.955,0.324,0.561,0.22,0.163,2.221
2024,126,Myanmar,4.321,4.172,4.471,0.975,1.144,0.446,0.569,0.322,0.163,0.702
2023,118,Myanmar,4.354,4.208,4.501,0.978,0.988,0.436,0.45,0.401,0.174,0.928
2022,117,Myanmar,4.372,4.212,4.533,1.032,1.125,0.269,0.46,0.4,0.194,0.893
2021,126,Myanmar,4.394,4.277,4.511,1.038,0.829,0.491,0.513,0.452,0.194,0.877
2020,127,Myanmar,4.426,4.324,4.527,0.666,0.713,0.341,0.601,0.52,0.178,1.407
2019,133,Myanmar,4.308,4.224,4.392,0.678,1.098,0.495,0.597,0.57,0.188,0.681
2024,103,Namibia,4.911,4.797,5.025,1.182,1.482,0.104,0.564,0.052,0.056,1.47
2023,106,Namibia,4.832,4.705,4.958,1.266,1.212,0.307,0.47,0.069,0.061,1.446
2022,105,Namibia,4.631,4.496,4.766,1.289,1.126,0.145,0.383,0.069,0.071,1.549
2021,124,Namibia,4.459,4.326,4.593,1.292,0.877,0.354,0.384,0.067,0.071,1.414
2020,125,Namibia,4.574,4.448,4.7,0.882,0.801,0.262,0.411,0.091,0.059,2.068
2019,122,Namibia,4.571,4.452,4.691,0.84,1.246,0.407,0.445,0.076,0.054,1.503
2024,92,Nepal,5.311,5.184,5.437,0.944,1.21,0.463,0.764,0.155,0.099,1.676
2023,93,Nepal,5.158,5.027,5.29,0.965,0.99,0.443,0.653,0.209,0.115,1.783
2022,78,Nepal,5.36,5.214,5.507,0.979,1.027,0.281,0.567,0.215,0.104,2.187
2021,84,Nepal,5.377,5.251,5.502,0.984,0.784,0.499,0.519,0.237,0.13,2.224
2020,88,Nepal,5.269,5.132,5.406,0.519,0.702,0.496,0.488,0.287,0.135,2.642
2019,92,Nepal,5.137,5.024,5.25,0.444,1.101,0.669,0.481,0.301,0.128,2.014
2024,5,Netherlands,7.306,7.24,7.372,1.822,1.667,0.844,0.86,0.186,0.344,1.583
2023,6,Netherlands,7.319,7.256,7.383,1.901,1.462,0.706,0.725,0.247,0.372,1.906
2022,5,Netherlands,7.403,7.346,7.46,1.942,1.488,0.545,0.672,0.251,0.394,2.11
2021,5,Netherlands,7.415,7.359,7.471,1.945,1.206,0.787,0.651,0.271,0.419,2.137
2020,6,Netherlands,7.464,7.41,7.518,1.501,1.079,0.753,0.647,0.302,0.384,2.798
2019,6,Netherlands,7.449,7.394,7.503,1.339,1.464,0.976,0.614,0.336,0.369,2.352
2024,12,New Zealand,6.952,6.874,7.031,1.698,1.712,0.815,0.861,0.167,0.429,1.27
2023,11,New Zealand,7.029,6.954,7.105,1.81,1.527,0.673,0.746,0.226,0.48,1.567
2022,10,New Zealand,7.123,7.048,7.198,1.842,1.544,0.513,0.672,0.23,0.471,1.852
2021,10,New Zealand,7.2,7.12,7.279,1.852,1.235,0.752,0.68,0.245,0.483,1.954
2020,10,New Zealand,7.277,7.198,7.355,1.4,1.094,0.785,0.665,0.276,0.445,2.612
2019,8,New Zealand,7.3,7.222,7.377,1.242,1.487,1.008,0.647,0.326,0.461,2.128
2024,47,Nicaragua,6.33,6.186,6.475,1.084,1.47,0.646,0.912,0.103,0.271,1.844
2023,43,Nicaragua,6.284,6.135,6.433,1.097,1.263,0.542,0.793,0.133,0.251,2.203
2022,40,Nicaragua,6.259,6.109,6.408,1.109,1.292,0.385,0.66,0.148,0.218,2.448
2021,45,Nicaragua,6.165,6.017,6.312,1.105,1.029,0.617,0.617,0.168,0.212,2.418
2020,56,Nicaragua,5.972,5.81,6.134,0.693,0.904,0.604,0.553,0.201,0.176,2.841
2019,46,Nicaragua,6.137,6.012,6.262,0.62,1.271,0.803,0.56,0.213,0.174,2.496
2024,110,Niger,4.725,4.588,4.863,0.606,0.796,0.258,0.759,0.122,0.137,2.048
2023,109,Niger,4.556,4.401,4.712,0.573,0.677,0.293,0.615,0.145,0.147,2.107
2022,109,Niger,4.501,4.291,4.712,0.561,0.628,0.137,0.54,0.154,0.14,2.341
2021,104,Niger,5.003,4.76,5.247,0.57,0.56,0.326,0.571,0.165,0.145,2.667
2020,97,Niger,5.074,4.875,5.273,0.162,0.402,0.167,0.516,0.2,0.157,3.47
2019,103,Niger,4.91,4.758,5.061,0.108,0.704,0.299,0.435,0.208,0.138,3.018
2024,105,Nigeria,4.885,4.748,5.022,0.989,1.245,0.38,0.639,0.17,0.028,1.433
2023,102,Nigeria,4.881,4.744,5.018,1.042,1.075,0.256,0.566,0.201,0.019,1.722
2022,95,Nigeria,4.981,4.825,5.136,1.065,1.007,0.092,0.448,0.176,0.013,2.181
2021,118,Nigeria,4.552,4.453,4.651,1.079,0.732,0.3,0.444,0.175,0.038,1.784
2020,117,Nigeria,4.759,4.658,4.861,0.663,0.625,0.051,0.433,0.212,0.039,2.736
2019,115,Nigeria,4.724,4.622,4.826,0.646,0.987,0.168,0.435,0.221,0.048,2.22
2021,79,North Cyprus,5.467,5.325,5.609,1.815,0.888,0.819,0.523,0.13,0.213,1.078
2020,75,North Cyprus,5.536,5.435,5.636,1.377,0.806,0.801,0.503,0.196,0.2,1.653
2019,76,North Cyprus,5.536,5.435,5.636,1.213,1.183,1.026,0.478,0.199,0.2,1.237
2024,86,North Macedonia,5.503,5.409,5.597,1.458,1.537,0.544,0.637,0.13,0.007,1.19
2023,84,North Macedonia,5.369,5.27,5.468,1.475,1.277,0.569,0.58,0.194,0.015,1.26
2022,87,North Macedonia,5.254,5.146,5.361,1.498,1.171,0.408,0.515,0.207,0.02,1.435
2021,89,North Macedonia,5.199,5.095,5.303,1.505,0.863,0.637,0.488,0.215,0.031,1.461
2020,95,North Macedonia,5.101,5.001,5.202,1.068,0.772,0.535,0.45,0.212,0.022,2.042
2019,90,North Macedonia,5.16,5.068,5.251,0.935,1.183,0.803,0.41,0.186,0.025,1.618
2024,7,Norway,7.262,7.171,7.353,1.902,1.711,0.863,0.962,0.168,0.425,1.231
2023,7,Norway,7.302,7.215,7.389,1.952,1.517,0.704,0.835,0.224,0.484,1.586
2022,7,Norway,7.315,7.229,7.402,1.994,1.521,0.544,0.752,0.212,0.463,1.829
2021,8,Norway,7.365,7.29,7.44,1.997,1.239,0.786,0.728,0.217,0.474,1.925
2020,7,Norway,7.392,7.323,7.462,1.543,1.108,0.782,0.703,0.249,0.427,2.58
2019,5,Norway,7.488,7.42,7.556,1.424,1.495,1.008,0.67,0.288,0.434,2.168
2024,109,Pakistan,4.768,4.644,4.892,0.982,0.759,0.417,0.529,0.136,0.046,1.898
2023,108,Pakistan,4.657,4.535,4.779,1.069,0.6,0.321,0.542,0.144,0.074,1.907
2022,108,Pakistan,4.555,4.404,4.707,1.081,0.657,0.158,0.511,0.141,0.102,1.907
2021,121,Pakistan,4.516,4.397,4.634,1.049,0.413,0.374,0.448,0.181,0.112,1.94
2020,106,Pakistan,4.934,4.802,5.066,0.637,0.423,0.322,0.418,0.252,0.097,2.784
2019,66,Pakistan,5.693,5.599,5.788,0.617,0.873,0.47,0.405,0.229,0.123,2.977
2024,41,Panama,6.407,6.284,6.531,1.594,1.6,0.717,0.876,0.041,0.042,1.537
2023,39,Panama,6.358,6.227,6.489,1.702,1.392,0.633,0.72,0.063,0.043,1.806
2022,38,Panama,6.265,6.105,6.424,1.714,1.402,0.475,0.63,0.065,0.036,1.943
2021,37,Panama,6.309,6.154,6.464,1.715,1.107,0.709,0.592,0.049,0.051,2.086
2020,42,Panama,6.18,6.036,6.323,1.298,0.976,0.667,0.596,0.079,0.053,2.509
2019,36,Panama,6.305,6.188,6.422,1.098,1.376,0.879,0.58,0.097,0.054,2.221
2024,54,Paraguay,6.172,6.064,6.279,1.329,1.615,0.291,0.921,0.097,0.063,1.857
2023,57,Paraguay,5.977,5.868,6.085,1.398,1.408,0.549,0.788,0.131,0.065,1.637
2022,66,Paraguay,5.738,5.625,5.851,1.428,1.427,0.392,0.678,0.148,0.062,1.604
2021,73,Paraguay,5.578,5.467,5.689,1.409,1.13,0.624,0.629,0.171,0.059,1.555
2020,72,Paraguay,5.653,5.473,5.832,0.983,0.97,0.549,0.602,0.206,0.037,2.306
2019,67,Paraguay,5.692,5.59,5.794,0.898,1.368,0.736,0.587,0.204,0.065,1.834
2024,65,Peru,5.947,5.844,6.049,1.323,1.364,0.551,0.71,0.05,0.021,1.929
2023,68,Peru,5.841,5.736,5.946,1.371,1.18,0.662,0.615,0.078,0.029,1.907
2022,75,Peru,5.526,5.412,5.64,1.39,1.153,0.499,0.549,0.073,0.027,1.835
2021,74,Peru,5.559,5.439,5.679,1.397,0.865,0.735,0.545,0.09,0.037,1.89
2020,64,Peru,5.84,5.692,5.988,0.986,0.833,0.623,0.536,0.087,0.031,2.744
2019,63,Peru,5.797,5.677,5.917,0.919,1.208,0.824,0.513,0.092,0.027,2.213
2024,57,Philippines,6.107,5.994,6.22,1.177,1.385,0.315,0.966,0.075,0.11,2.079
2023,53,Philippines,6.048,5.929,6.166,1.232,1.146,0.441,0.826,0.099,0.136,2.167
2022,76,Philippines,5.523,5.371,5.675,1.238,1.108,0.286,0.714,0.104,0.141,1.931
2021,60,Philippines,5.904,5.8,6.007,1.268,0.912,0.514,0.678,0.107,0.142,2.283
2020,62,Philippines,5.88,5.778,5.982,0.853,0.828,0.426,0.651,0.125,0.126,2.872
2019,52,Philippines,6.006,5.908,6.104,0.775,1.245,0.602,0.622,0.129,0.13,2.502
2024,26,Poland,6.673,6.611,6.734,1.666,1.595,0.63,0.79,0.021,0.169,1.802
2023,35,Poland,6.442,6.37,6.513,1.738,1.417,0.639,0.6,0.081,0.175,1.791
2022,39,Poland,6.26,6.177,6.343,1.767,1.474,0.477,0.511,0.12,0.139,1.772
2021,48,Poland,6.123,6.04,6.205,1.758,1.174,0.712,0.523,0.124,0.14,1.693
2020,45,Poland,6.166,6.087,6.245,1.309,0.982,0.668,0.558,0.08,0.13,2.438
2019,43,Poland,6.186,6.117,6.256,1.169,1.31,0.868,0.558,0.063,0.161,2.057
2024,60,Portugal,6.013,5.907,6.118,1.646,1.56,0.822,0.879,0.04,0.034,1.032
2023,55,Portugal,6.03,5.925,6.134,1.728,1.368,0.699,0.757,0.047,0.035,1.397
2022,56,Portugal,5.968,5.86,6.076,1.758,1.356,0.537,0.693,0.031,0.037,1.556
2021,56,Portugal,6.016,5.911,6.122,1.76,1.078,0.777,0.655,0.016,0.039,1.691
2020,59,Portugal,5.929,5.821,6.037,1.323,0.939,0.76,0.621,0.029,0.033,2.225
2019,59,Portugal,5.911,5.807,6.015,1.169,1.34,0.979,0.59,0.053,0.028,1.753
2024,58,Republic of Korea,6.038,5.945,6.131,1.709,1.357,0.903,0.678,0.1,0.139,1.152
2023,52,Republic of Korea,6.058,5.968,6.148,1.815,1.178,0.77,0.555,0.126,0.158,1.456
2022,57,Republic of Korea,5.951,5.862,6.04,1.853,1.188,0.603,0.446,0.112,0.163,1.587
2021,59,Republic of Korea,5.935,5.849,6.021,1.851,0.886,0.841,0.414,0.111,0.176,1.656
2020,63,Republic of Korea,5.845,5.763,5.928,1.403,0.758,0.801,0.353,0.134,0.135,2.262
2019,61,Republic of Korea,5.872,5.786,5.959,1.245,1.134,1.023,0.259,0.17,0.095,1.947
2024,80,Republic of Moldova,5.819,5.706,5.933,1.332,1.43,0.414,0.83,0.054,0.037,1.722
2023,71,Republic of Moldova,5.816,5.702,5.93,1.385,1.277,0.542,0.695,0.077,0.044,1.795
2022,63,Republic of Moldova,5.819,5.717,5.922,1.425,1.302,0.375,0.61,0.093,0.02,1.995
2021,62,Republic of Moldova,5.857,5.766,5.948,1.417,1.008,0.597,0.561,0.102,0.028,2.142
2020,66,Republic of Moldova,5.766,5.677,5.856,0.985,0.888,0.542,0.536,0.137,0.013,2.665
2019,70,Republic of Moldova,5.608,5.525,5.69,0.708,1.237,0.713,0.39,0.174,0.014,2.371
2024,35,Romania,6.563,6.47,6.655,1.636,1.401,0.561,0.847,0.028,0.015,2.075
2023,32,Romania,6.491,6.39,6.592,1.699,1.236,0.583,0.717,0.041,0.006,2.21
2022,24,Romania,6.589,6.488,6.69,1.726,1.28,0.423,0.631,0.044,0.0,2.485
2021,28,Romania,6.477,6.379,6.575,1.719,1.006,0.655,0.605,0.039,0.006,2.446
2020,47,Romania,6.14,6.027,6.253,1.275,0.832,0.595,0.564,0.045,0.001,2.83
2019,47,Romania,6.124,6.031,6.217,1.12,1.194,0.792,0.535,0.068,0.001,2.413
2024,66,Russian Federation,5.945,5.865,6.026,1.63,1.549,0.47,0.702,0.095,0.125,1.373
2023,72,Russian Federation,5.785,5.712,5.859,1.642,1.351,0.531,0.551,0.138,0.121,1.451
2022,70,Russian Federation,5.661,5.588,5.734,1.68,1.383,0.366,0.449,0.12,0.091,1.572
2021,80,Russian Federation,5.459,5.392,5.525,1.685,1.095,0.586,0.401,0.117,0.08,1.494
2020,77,Russian Federation,5.477,5.413,5.541,1.241,0.992,0.511,0.409,0.115,0.06,2.148
2019,73,Russian Federation,5.546,5.468,5.624,1.127,1.379,0.68,0.399,0.099,0.046,1.816
2021,143,Rwanda,3.268,3.074,3.462,0.785,0.133,0.462,0.621,0.187,0.544,0.536
2020,148,Rwanda,3.415,3.282,3.548,0.364,0.202,0.407,0.627,0.227,0.493,1.095
2019,150,Rwanda,3.312,3.21,3.415,0.343,0.523,0.572,0.604,0.236,0.486,0.548
2024,32,Saudi Arabia,6.6,6.497,6.702,1.743,1.566,0.714,0.915,0.105,0.187,1.37
2023,28,Saudi Arabia,6.594,6.48,6.707,1.842,1.361,0.511,0.787,0.114,0.188,1.79
2022,30,Saudi Arabia,6.463,6.344,6.581,1.861,1.37,0.351,0.682,0.093,0.17,1.936
2021,25,Saudi Arabia,6.523,6.409,6.637,1.87,1.092,0.577,0.651,0.078,0.18,2.075
2020,27,Saudi Arabia,6.494,6.384,6.604,1.435,0.964,0.571,0.603,0.09,0.163,2.668
2019,27,Saudi Arabia,6.406,6.296,6.517,1.334,1.31,0.76,0.548,0.087,0.163,2.203
2024,107,Senegal,4.856,4.732,4.979,0.907,0.977,0.433,0.767,0.129,0.09,1.553
2023,99,Senegal,4.969,4.841,5.096,0.927,0.751,0.392,0.607,0.152,0.069,2.071
2022,102,Senegal,4.855,4.727,4.983,0.943,0.727,0.231,0.519,0.142,0.06,2.234
2021,103,Senegal,5.046,4.921,5.171,0.933,0.53,0.447,0.494,0.143,0.081,2.419
2020,93,Senegal,5.132,4.998,5.266,0.518,0.558,0.357,0.381,0.158,0.088,3.071
2019,101,Senegal,4.981,4.877,5.084,0.504,0.955,0.518,0.352,0.164,0.082,2.405
2024,31,Serbia,6.606,6.513,6.698,1.489,1.62,0.545,0.767,0.131,0.107,1.946
2023,37,Serbia,6.411,6.3,6.522,1.538,1.391,0.585,0.663,0.2,0.101,1.932
2022,45,Serbia,6.144,5.988,6.299,1.552,1.343,0.424,0.617,0.246,0.081,1.881
2021,43,Serbia,6.178,6.062,6.294,1.55,1.086,0.658,0.546,0.219,0.088,2.031
2020,49,Serbia,6.078,5.974,6.181,1.101,0.924,0.634,0.482,0.189,0.066,2.682
2019,64,Serbia,5.778,5.679,5.878,0.988,1.327,0.828,0.395,0.15,0.059,2.029
2024,146,Sierra Leone,2.998,2.894,3.102,0.786,0.692,0.327,0.613,0.138,0.052,0.391
2023,140,Sierra Leone,3.245,3.124,3.366,0.654,0.566,0.253,0.469,0.181,0.053,1.068
2022,135,Sierra Leone,3.138,2.976,3.299,0.67,0.54,0.092,0.371,0.193,0.051,1.221
2021,140,Sierra Leone,3.574,3.416,3.732,0.686,0.416,0.273,0.387,0.202,0.055,1.556
2020,139,Sierra Leone,3.849,3.698,4.001,0.279,0.377,0.1,0.408,0.243,0.047,2.396
2019,139,Sierra Leone,3.926,3.807,4.046,0.241,0.748,0.204,0.382,0.258,0.048,2.046
2024,34,Singapore,6.565,6.481,6.65,2.022,1.565,0.935,0.856,0.164,0.522,0.501
2023,30,Singapore,6.523,6.44,6.605,2.118,1.361,0.769,0.743,0.168,0.575,0.788
2022,25,Singapore,6.587,6.454,6.72,2.168,1.354,0.607,0.66,0.17,0.561,1.067
2021,27,Singapore,6.48,6.392,6.569,2.149,1.127,0.851,0.672,0.163,0.587,0.932
2020,33,Singapore,6.377,6.293,6.46,1.695,1.019,0.897,0.664,0.176,0.547,1.379
2019,31,Singapore,6.377,6.312,6.442,1.52,1.395,1.138,0.635,0.219,0.533,0.937
2024,50,Slovakia,6.221,6.154,6.288,1.629,1.762,0.547,0.704,0.058,0.07,1.451
2023,45,Slovakia,6.257,6.182,6.332,1.706,1.54,0.638,0.566,0.096,0.058,1.653
2022,29,Slovakia,6.469,6.36,6.578,1.731,1.544,0.472,0.494,0.128,0.022,2.078
2021,35,Slovakia,6.391,6.306,6.475,1.736,1.232,0.707,0.479,0.118,0.025,2.094
2020,35,Slovakia,6.331,6.251,6.411,1.304,1.066,0.653,0.468,0.107,0.018,2.714
2019,37,Slovakia,6.281,6.204,6.357,1.195,1.424,0.853,0.424,0.117,0.011,2.256
2024,19,Slovenia,6.792,6.695,6.889,1.692,1.718,0.802,0.961,0.121,0.113,1.384
2023,21,Slovenia,6.743,6.643,6.843,1.786,1.502,0.695,0.789,0.157,0.131,1.683
2022,22,Slovenia,6.65,6.55,6.75,1.815,1.539,0.532,0.707,0.144,0.113,1.799
2021,22,Slovenia,6.63,6.542,6.718,1.81,1.249,0.769,0.685,0.118,0.115,1.885
2020,30,Slovenia,6.461,6.376,6.546,1.36,1.093,0.722,0.69,0.122,0.085,2.388
2019,33,Slovenia,6.363,6.277,6.449,1.209,1.465,0.933,0.647,0.146,0.077,1.889
2024,122,Somalia,4.347,4.203,4.49,0.535,0.877,0.046,0.916,0.206,0.192,1.575
2024,95,South Africa,5.213,5.086,5.339,1.283,1.465,0.142,0.676,0.064,0.043,1.54
2023,83,South Africa,5.422,5.295,5.549,1.389,1.369,0.322,0.537,0.078,0.034,1.693
2022,85,South Africa,5.275,5.132,5.417,1.417,1.428,0.149,0.464,0.09,0.019,1.708
2021,91,South Africa,5.194,5.073,5.315,1.425,1.088,0.361,0.442,0.089,0.046,1.742
2020,104,South Africa,4.956,4.839,5.074,0.967,0.895,0.265,0.447,0.144,0.051,2.187
2019,109,South Africa,4.814,4.696,4.932,0.902,1.259,0.407,0.435,0.126,0.06,1.625
2019,152,South Sudan,2.817,2.606,3.028,0.289,0.553,0.209,0.066,0.21,0.111,1.379
2024,38,Spain,6.466,6.385,6.547,1.69,1.685,0.894,0.734,0.112,0.18,1.17
2023,36,Spain,6.421,6.339,6.502,1.766,1.471,0.729,0.619,0.119,0.177,1.54
2022,32,Spain,6.436,6.354,6.519,1.798,1.491,0.567,0.533,0.101,0.157,1.789
2021,29,Spain,6.476,6.392,6.56,1.808,1.211,0.808,0.505,0.101,0.149,1.893
2020,28,Spain,6.491,6.408,6.574,1.375,1.057,0.826,0.462,0.135,0.124,2.513
2019,28,Spain,6.401,6.318,6.484,1.231,1.421,1.051,0.426,0.165,0.11,1.997
2024,133,Sri Lanka,3.891,3.78,4.001,1.271,1.308,0.567,0.696,0.121,0.025,-0.099
2023,128,Sri Lanka,3.898,3.778,4.018,1.361,1.179,0.586,0.583,0.144,0.031,0.014
2022,112,Sri Lanka,4.442,4.28,4.603,1.422,1.224,0.426,0.539,0.12,0.086,0.625
2021,127,Sri Lanka,4.362,4.237,4.487,1.415,0.934,0.66,0.529,0.15,0.079,0.595
2020,130,Sri Lanka,4.325,4.196,4.454,0.99,0.82,0.593,0.559,0.239,0.049,1.075
2019,130,Sri Lanka,4.327,4.223,4.431,0.898,1.195,0.792,0.529,0.253,0.049,0.611
2021,122,State of Palestine,4.483,4.3,4.665,1.148,0.957,0.521,0.336,0.073,0.079,1.368
2020,126,State of Palestine,4.517,4.384,4.649,0.646,0.819,0.434,0.33,0.082,0.075,2.131
2019,125,State of Palestine,4.553,4.443,4.662,0.588,1.195,0.614,0.299,0.092,0.072,1.694
2020,131,Swaziland,4.308,4.168,4.448,0.849,0.693,0.074,0.323,0.067,0.147,2.155
2019,132,Swaziland,4.308,4.168,4.448,0.828,1.065,0.216,0.3,0.067,0.147,1.686
2024,4,Sweden,7.345,7.262,7.427,1.783,1.698,0.889,0.952,0.17,0.467,1.385
2023,4,Sweden,7.344,7.267,7.422,1.878,1.501,0.724,0.838,0.221,0.524,1.658
2022,6,Sweden,7.395,7.322,7.468,1.921,1.51,0.562,0.754,0.225,0.52,1.903
2021,7,Sweden,7.384,7.315,7.454,1.92,1.204,0.803,0.724,0.218,0.512,2.003
2020,8,Sweden,7.363,7.293,7.433,1.478,1.062,0.763,0.685,0.244,0.448,2.683
2019,7,Sweden,7.353,7.282,7.425,1.322,1.433,0.986,0.65,0.273,0.442,2.246
2024,13,Switzerland,6.935,6.854,7.015,1.87,1.622,0.883,0.889,0.156,0.468,1.047
2023,9,Switzerland,7.06,6.973,7.147,1.97,1.425,0.747,0.759,0.173,0.498,1.488
2022,8,Switzerland,7.24,7.156,7.324,2.022,1.463,0.582,0.678,0.151,0.475,1.87
2021,4,Switzerland,7.512,7.437,7.586,2.026,1.226,0.822,0.677,0.147,0.461,2.153
2020,4,Switzerland,7.571,7.5,7.643,1.566,1.079,0.816,0.653,0.204,0.413,2.839
2019,3,Switzerland,7.56,7.491,7.629,1.391,1.472,1.041,0.629,0.269,0.408,2.35
2024,27,Taiwan Province of China,6.669,6.579,6.76,1.73,1.583,0.817,0.76,0.057,0.187,1.534
2023,31,Taiwan Province of China,6.503,6.41,6.597,1.842,1.346,0.65,0.649,0.068,0.202,1.747
2022,27,Taiwan Province of China,6.535,6.444,6.627,1.89,1.372,0.492,0.562,0.067,0.178,1.974
2021,26,Taiwan Province of China,6.512,6.429,6.596,1.897,1.095,0.733,0.542,0.075,0.168,2.002
2020,25,Taiwan Province of China,6.584,6.51,6.659,1.48,0.982,0.665,0.49,0.142,0.139,2.687
2019,25,Taiwan Province of China,6.455,6.379,6.532,1.327,1.358,0.878,0.449,0.151,0.132,2.16
2022,80,Tajikistan,5.33,5.207,5.452,0.972,1.248,0.291,0.599,0.104,0.292,1.823
2021,83,Tajikistan,5.377,5.287,5.468,0.966,1.005,0.518,0.572,0.118,0.304,1.895
2020,79,Tajikistan,5.466,5.4,5.532,0.508,0.895,0.498,0.548,0.152,0.247,2.619
2019,71,Tajikistan,5.556,5.492,5.619,0.475,1.218,0.681,0.521,0.182,0.222,2.257
2024,136,Tanzania,3.8,3.661,3.938,0.847,0.908,0.411,0.858,0.153,0.243,0.38
2023,131,Tanzania,3.781,3.644,3.917,0.82,0.706,0.38,0.709,0.191,0.257,0.717
2022,129,Tanzania,3.694,3.547,3.84,0.836,0.787,0.214,0.607,0.234,0.269,0.747
2021,139,Tanzania,3.702,3.558,3.847,0.848,0.597,0.425,0.578,0.248,0.27,0.735
2020,143,Tanzania,3.623,3.485,3.762,0.433,0.54,0.3,0.549,0.307,0.231,1.263
2019,148,Tanzania,3.476,3.352,3.6,0.457,0.873,0.443,0.509,0.272,0.204,0.719
2024,49,Thailand,6.222,6.117,6.327,1.426,1.551,0.633,0.927,0.223,0.039,1.423
2023,58,Thailand,5.976,5.858,6.094,1.484,1.347,0.62,0.756,0.283,0.024,1.463
2022,60,Thailand,5.843,5.717,5.969,1.515,1.344,0.461,0.624,0.291,0.013,1.594
2021,61,Thailand,5.891,5.788,5.994,1.535,1.096,0.697,0.617,0.321,0.026,1.6
2020,55,Thailand,5.985,5.893,6.077,1.107,0.957,0.596,0.611,0.375,0.028,2.309
2019,54,Thailand,5.999,5.915,6.082,1.007,1.348,0.794,0.609,0.377,0.032,1.832
2024,127,Togo,4.315,4.2,4.43,0.757,0.736,0.378,0.576,0.097,0.153,1.618
2023,124,Togo,4.214,4.098,4.33,0.758,0.586,0.32,0.453,0.127,0.156,1.814
2022,122,Togo,4.137,3.986,4.289,0.77,0.642,0.161,0.367,0.149,0.136,1.913
2021,135,Togo,4.112,3.953,4.272,0.771,0.322,0.36,0.292,0.174,0.132,2.061
2020,137,Togo,4.107,3.956,4.258,0.254,0.239,0.203,0.289,0.209,0.107,2.806
2019,135,Togo,4.187,4.065,4.31,0.268,0.548,0.343,0.304,0.201,0.115,2.41
2024,70,Trinidad and Tobago,5.905,5.651,6.159,1.549,1.532,0.419,0.76,0.111,0.001,1.533
2019,42,Trinidad and Tobago,6.192,5.968,6.416,1.168,1.407,0.659,0.553,0.199,0.015,2.191
2024,113,Tunisia,4.552,4.47,4.633,1.257,1.224,0.459,0.382,0.032,0.05,1.149
2023,115,Tunisia,4.422,4.338,4.505,1.306,0.955,0.579,0.254,0.024,0.018,1.285
2022,110,Tunisia,4.497,4.393,4.601,1.333,0.981,0.422,0.259,0.022,0.016,1.463
2021,120,Tunisia,4.516,4.403,4.629,1.35,0.596,0.656,0.316,0.029,0.029,1.54
2020,123,Tunisia,4.596,4.484,4.709,0.919,0.515,0.59,0.334,0.057,0.044,2.138
2019,128,Tunisia,4.392,4.295,4.49,0.875,0.872,0.781,0.236,0.056,0.044,1.528
2024,94,Türkiye,5.262,5.178,5.347,1.582,1.444,0.626,0.244,0.04,0.104,1.223
2023,98,Türkiye,4.975,4.866,5.085,1.702,1.175,0.631,0.202,0.068,0.115,1.083
2022,106,Türkiye,4.614,4.45,4.777,1.714,1.148,0.467,0.125,0.095,0.096,0.969
2021,112,Türkiye,4.744,4.644,4.845,1.707,0.865,0.702,0.209,0.087,0.115,1.059
2020,105,Türkiye,4.948,4.857,5.038,1.26,0.809,0.59,0.236,0.097,0.104,1.852
2019,93,Türkiye,5.132,5.054,5.21,1.127,1.197,0.781,0.254,0.086,0.121,1.565
2021,78,Turkmenistan,5.474,5.371,5.578,1.484,1.319,0.516,0.649,0.314,0.032,1.16
2020,98,Turkmenistan,5.066,4.996,5.136,1.046,1.172,0.439,0.602,0.366,0.033,1.409
2019,95,Turkmenistan,5.119,5.062,5.177,1.009,1.51,0.612,0.515,0.323,0.034,1.115
2024,116,Uganda,4.461,4.336,4.587,0.762,1.342,0.396,0.751,0.148,0.05,1.012
2023,117,Uganda,4.372,4.243,4.501,0.772,1.151,0.373,0.587,0.178,0.054,1.256
2022,113,Uganda,4.432,4.258,4.607,0.785,1.144,0.201,0.425,0.197,0.051,1.628
2021,117,Uganda,4.603,4.459,4.747,0.777,0.875,0.418,0.402,0.222,0.066,1.842
2020,120,Uganda,4.636,4.493,4.78,0.364,0.718,0.24,0.398,0.267,0.054,2.596
2019,126,Uganda,4.432,4.298,4.566,0.312,1.052,0.378,0.402,0.265,0.064,1.959
2024,111,Ukraine,4.68,4.565,4.794,1.328,1.472,0.472,0.689,0.245,0.023,0.451
2023,105,Ukraine,4.873,4.758,4.988,1.35,1.315,0.513,0.631,0.285,0.025,0.753
2022,92,Ukraine,5.071,4.956,5.187,1.358,1.354,0.355,0.551,0.265,0.016,1.172
2021,98,Ukraine,5.084,4.978,5.19,1.411,1.081,0.583,0.473,0.188,0.017,1.331
2020,111,Ukraine,4.875,4.773,4.977,0.979,0.958,0.517,0.417,0.181,0.01,1.813
2019,123,Ukraine,4.561,4.463,4.658,0.78,1.321,0.699,0.319,0.179,0.01,1.253
2024,21,United Arab Emirates,6.759,6.673,6.846,1.812,1.294,0.659,0.934,0.165,0.235,1.66
